file size (byte), file name, memory capacity (byte), k, time (ms)
524288000, input_500MB, 33550000, 2, 39562
524288000, input_500MB, 33550000, 3, 33495
524288000, input_500MB, 33550000, 4, 34654
524288000, input_500MB, 33550000, 5, 35055
524288000, input_500MB, 33550000, 6, 36318
524288000, input_500MB, 33550000, 7, 36974
524288000, input_500MB, 33550000, 8, 37552
524288000, input_500MB, 33550000, 9, 38592
