file size (byte), memory capacity (byte), k, time (ms)
10490000, 838861, 2, 611
9441000, 838861, 2, 544
8392000, 838861, 2, 455
7343000, 838861, 2, 400
6294000, 838861, 2, 340
5245000, 838861, 2, 280
4196000, 838861, 2, 211
3147000, 838861, 2, 157
2098000, 838861, 2, 96
1049000, 838861, 2, 43
