file size (byte), file name, memory capacity (byte), k, time (ms)
524288000, input_500MB, 1049000, 4, 37668
524288000, input_500MB, 2097000, 4, 37787
524288000, input_500MB, 4194000, 4, 38027
524288000, input_500MB, 8389000, 4, 39805
524288000, input_500MB, 16780000, 4, 34656
524288000, input_500MB, 67110000, 4, 34471
524288000, input_500MB, 134200000, 4, 34682
524288000, input_500MB, 268400000, 4, 32685
524288000, input_500MB, 536900000, 4, 32994
524288000, input_500MB, 1073700000, 4, 32709
